ResponseId,positive,neutral,negative,unknown,total
R_eJrhjl3GBDV2dup,5,5,1,0,11
R_2dZ1vc8TeMgzVGy,6,4,0,0,10
R_U9ZMoSkJEpjJCYF,1,5,3,0,9
R_3KjvB8whwL5061H,4,5,0,0,9
R_3fpBxqjupaSzVkm,4,8,1,0,13
R_2zcrX7s2XBEQBLR,7,3,0,0,10
R_6GymOmveTYCjDnX,5,1,0,0,6
R_24deqa4vF3YO56j,4,5,2,0,11
R_2tKA8KMFqcxfEXw,4,3,1,0,8
R_sdRv52BCpqmGCs1,7,4,0,0,11
R_3nPEIsquFIEQnPe,11,1,0,0,12
R_yjrbNA7NsfOZ1Dz,2,5,0,0,7
R_1FlKBipNoEvUGMX,7,1,0,0,8
R_2c1Tf9A7lyYc1Bf,5,3,0,0,8
R_2Y5hhqCLQ9BfNvV,1,4,0,0,5
R_b2D7ehaK1Ivlnt7,5,4,0,0,9
R_2bK7uFqwn0S5Lrm,5,2,1,0,8
R_rlSu83EQGMeR3Ql,5,6,0,0,11
R_CjqbLXi3fgZz8yt,6,4,1,0,11
R_3Rz0x3GQbSYLiP7,4,5,0,0,9
R_1nVJlSPMJB5KohJ,7,3,0,0,10
R_2tGamQ5NSYhuIL5,4,2,1,0,7
R_3Mn8z5Hc6ohH3qe,4,5,0,0,9
R_et9MC6fW00hwP2p,6,2,0,0,8
R_1BPejDRcYCWHzXD,1,7,1,0,9
R_57tiIIt6StNc2wp,5,1,1,0,7
R_80yI66vRvSxA5J7,1,4,0,0,5
R_1gGCTTXDjHp0WUy,6,4,0,0,10
R_3spLlvrZftm7jXU,5,2,0,0,7
R_29fUmidY9aDWaAu,7,1,1,0,9
R_3iJC16jYcDbhhEN,3,2,1,0,6
R_XHRkFinvRvx4oCd,0,3,3,0,6
R_2Vevs6uUFzyy7jh,5,2,0,0,7
R_b4uAV44zdqDlCHD,5,4,0,0,9
R_sG97noIjBlTmVYB,5,4,0,0,9
R_2CHdxbYWkCdglDe,4,4,2,0,10
R_1MXvqnlaplNurN0,5,5,0,0,10
R_1QKqWk1KudShWav,9,3,0,0,12
R_2ayQjd55jxtvZYG,4,6,0,0,10
R_1DZITnLleigYZ3x,6,3,0,0,9
R_28zya6noD8t59aG,6,5,0,0,11
R_2rHjbUpBKs0wdCp,4,5,0,0,9
R_3oUeRIFniVkInB8,6,0,0,0,6
R_BE6xvTtm2AcW9P3,7,6,0,0,13
R_12zCWi5sFQr1uyD,6,4,0,0,10
R_1QgvcX9QFmBXVsQ,8,3,0,0,11
R_p5WNBu2lDg7pL3j,1,2,4,0,7
R_2tMs34jVnfxK3I3,4,6,0,0,10
R_1rijg4t5ZwXQBtr,7,3,0,0,10
R_2Tu5CbbzKCY1A9q,6,2,0,0,8
R_3KU7NkvibCsUTJT,8,0,0,0,8
R_2doQcpwa6nxP1No,0,4,4,0,8
R_1H5iPqJVTUtEu5N,1,2,3,0,6
R_25GcrzHsgTL7Okm,5,4,0,0,9
R_1LYy9LNTR6v7cg0,6,3,1,0,10
R_1E7pQiu2BuknK6w,10,0,0,0,10
R_b2xqUgPEOtAfRVD,0,1,6,0,7
R_3F4cqL27e6r2fb2,5,2,1,0,8
R_1ERxQTscgBa0zbX,1,2,3,0,6
R_1NwSgdVHgt2o1l2,6,1,0,0,7
R_bsBjl3mgmjgOMJX,4,3,1,0,8
R_b31yG88Gz0Y909b,4,2,4,0,10
R_3PuXVIFeantsIQW,2,7,1,0,10
R_33sw4aPNrpMaaox,2,4,2,0,8
R_vfwz4n3tNiu3E2d,3,5,0,0,8
R_1psyDt5NNmacAQl,10,0,0,0,10
R_C3sBFGXa1B9o5Nf,4,8,0,0,12
R_1ouLrinN5XToHbE,6,4,0,0,10
R_2q9Q1sPb10HK6PZ,7,1,0,0,8
R_3hnnSFjQmymoj4E,6,1,0,0,7
R_1g105I61uw55sIJ,6,4,0,0,10
R_4VIralArUHGxA8V,7,1,0,0,8
R_yHZbkEMGI6Nrjrz,5,2,0,0,7
R_ULpHlvsTUBSRwul,6,2,0,0,8
R_ZqOpkgYTxemcyEV,5,5,0,0,10
R_1pxQEfTubGwt3EN,7,2,0,0,9
R_2rZqqc6I6j3erMl,6,4,0,0,10
R_1DUQgbnC22SGo1s,6,2,0,0,8
R_1Qsa5z23uCemHEt,6,2,0,0,8
R_3DtNQFS2VaH690b,6,3,0,0,9
R_1IxRKyfrUgmygeX,8,2,0,0,10
R_1kGOBrumx9brqf8,6,2,1,0,9
R_sj1Q4aeFh4h95OV,2,2,4,0,8
R_3dEQNcngp8N4eng,7,2,1,0,10
R_sMCytGmxYH5mcLv,2,5,2,0,9
R_3031VlFWxVckvgr,3,3,2,0,8
R_URTQsuMWdMS4jf3,8,2,0,0,10
R_2agV9GjM6amjuOj,2,8,0,0,10
R_2wuFiLKCcGDDtko,2,3,4,0,9
R_eJ11SceJqfCplPb,0,2,5,0,7
R_25Sj8AMzxPPXs9D,8,1,0,0,9
R_ub6lr1tjVJ1ZqYV,7,2,0,0,9
R_1GJ3Gk6GR3d7OM0,3,0,6,0,9
R_1o13R5IFcE5GaIJ,1,5,0,0,6
R_2qFeGwG1b0dDRkq,4,4,0,0,8
R_2VOAZmreeiyMunn,4,2,3,0,9
R_C7khpmuCRtM7Z0l,11,0,0,0,11
R_2ROJ7ws2w3MqbFU,5,3,1,0,9
R_3nHGNHbqnj1JOtQ,4,1,5,0,10
R_bjXv2AIKC9t0nwB,10,0,0,0,10
R_2ty66fPqhgYFT7D,6,0,0,0,6
R_2X1J6X6J2TzWEMw,7,4,0,0,11
R_30jcJ1uUcLTt9Iy,4,3,2,0,9
R_1JJj3DMtTvTe8xE,5,4,0,0,9
R_Wr2rez2wa0qiuPf,2,2,3,0,7
R_9LdpMmvHWWSG9z3,8,2,0,0,10
R_1jPd12C9LZepkQv,6,1,0,0,7
R_2BlZxrhar2CJg0w,1,10,1,0,12
R_sqks6J1MWvZ2RC9,6,1,0,0,7
R_qyk3Vvo8kHUBMjv,4,1,3,0,8
R_3RemrelOlMQZjsA,9,2,0,0,11
R_3z7gOiishgwvR1n,6,0,2,0,8
R_110GfTzF2oXzs0q,5,5,2,0,12
R_1HcXAAPMdGdgXUJ,5,4,1,0,10
R_vUn3ns1MNs64QUh,7,4,0,0,11
R_oYLPa1gIVQhOxvH,9,1,0,0,10
R_2cpdnh823YLX0PC,3,3,3,0,9
R_3DhZHr5nHyvjaCs,7,3,0,0,10
R_2s71sV29lo0LSvd,7,2,1,0,10
